StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q43,Q3,Q44,Q5,Q6,Q7,Q8,Q9,Q10,Q13,Q14,Q32,Q31,Q30,Q29,Q16,Q15,Q17,Q28,Q26,Q12,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q27,Q33,Q34,Q11,Q35,Q36,Q37,Q38,Q39,Q40,Q41
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How old are you?,How do you identify?,What is your current marital status?,With what race do you most identify?,Is English your first language?,What is your Major?,Where do you live during the school year?,With whom do you live during the school year?,How far do you live from your parent(s)/primary guardian(s)?,Did one or both of your parents graduate from college?,What is your current GPA?,About how many hours per week do you spend on academic work outside of class?,"Since beginning classes at UNO, how would you say your motivation to complete your degree has changed?","Since beginning classes at UNO, how would you say your academic performance has changed?","Since beginning classes at UNO, how would you say your time management skills have changed?","Since beginning classes at UNO, how would you say your study habits have changed?","If I could start over, I would attend UNO again.",I enjoy college.,I feel a sense of belonging in our university community.,How connected do you feel to your UNO peers?,How connected do you feel to the UNO staff?,"Are you a member of a learning community?
e.g. Thompson Learning Community, Scott Scholars, University Honors, Goodrich Scholarship Program, etc.",Have you attended a UNO Career fair in the past 12 months?,Are you a member of a student body organization?,How many times have you attended a UNO athletic event in the past 12 months?,How many times have you attended a UNO fine arts event in the past 12 months?,How many times have you been to the wellness or recreation center in the past 12 months?,How many times have you attended Durango Days events in the past 12 months?,"In the past 12 months, how many times have you attended an appointment at the UNO Writing Center, the UNO Speech Center, the UNO Math Science Learning Center, or any of the UNO CBA Tutoring Labs?",How many times have you attended any other UNO or campus based event in the past 12 months?,Did you attend any workshops geared towards helping you transition into college life?,Have you communicated outside of class with your peers?,"Outside of required appointments, how many times have you contacted your academic advisor since beginning at UNO?",Are you attending UNO on a sports or academic scholarship?,Do you have a job on or off campus?,How many hours per week do you work on average?,"Suppose you had $100 in a savings account and the interest rate was 2% per year. After 5 years, how much do you think you would have in the account if you left the money to grow?","Imagine that the interest rate on your savings account was 1% per year and inflation was 2% per year. After 1 year, how much would you be able to buy with the money in this account?","If interest rates rise, what will typically happen to bond prices?","A 15-year mortgage typically requires higher monthly payments than a 30-year mortgage, but the total interest paid over the life of the loan will be less.",Buying a single company's stock usually provides safer return than a stock mutual fund.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID43""}","{""ImportId"":""QID3""}","{""ImportId"":""QID44""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID32""}","{""ImportId"":""QID31""}","{""ImportId"":""QID30""}","{""ImportId"":""QID29""}","{""ImportId"":""QID16""}","{""ImportId"":""QID15""}","{""ImportId"":""QID17""}","{""ImportId"":""QID28""}","{""ImportId"":""QID26""}","{""ImportId"":""QID12""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID27""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID11""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}"
2025-11-12 19:21:35,2025-11-12 19:26:17,IP Address,72.206.116.243,100,281,True,2025-11-12 19:26:18,R_3KWySUcA6u11OBb,,,,,41.1156,-95.9375,anonymous,EN,18-24 years old,Female,Never been married,White or Caucasian,Yes,"Business Administration ",Residence within driving distance.,With friends who are not students at the university I'm attending.,Less than 10 miles.,No.,3.75+,5 or fewer hours.,My motivation has decreased.,My grades have stayed the same on average.,My time management skills have stayed the same.,I study less than before.,Strongly agree.,Strongly agree.,Strongly agree.,Somewhat connected.,Somewhat connected.,Yes.,Yes.,Yes.,4+,1,3,4+,2,4+,No.,Yes.,4+,No.,"Yes, off campus.",25-30 hours.,More than $102.,Less than today.,They will fall.,True.,True.
2025-11-12 19:43:27,2025-11-12 19:49:26,IP Address,64.145.69.176,100,358,True,2025-11-12 19:49:26,R_3YJKiP23tEPBgMg,,,,,41.2377,-95.9998,anonymous,EN,18-24 years old,Female,Never been married,White or Caucasian,Yes,"Business Administration with a concentration in marketing ",In a dormitory or some other student housing.,With one or more other students.,70+ miles.,Yes.,3.75+,11 - 15 hours.,My motivation has increased.,My grades have stayed the same on average.,My time management skills have improved.,I study more than before.,Agree.,Strongly agree.,Agree.,Connected.,Connected.,No.,No.,No.,4+,0,3,3,2,4+,No.,Yes.,1,No.,"Yes, on campus.",15-20 hours.,More than $102.,Less than today.,They will fall.,True.,False.
2025-11-13 07:47:33,2025-11-13 07:52:11,IP Address,184.97.146.33,100,278,True,2025-11-13 07:52:12,R_7nROp20a397un4t,,,,,41.2327,-96.1138,anonymous,EN,18-24 years old,Male,Never been married,White or Caucasian,Yes,Business Administration,Residence within driving distance.,With family.,Less than 10 miles.,Yes.,3.75+,6 - 10 hours.,My motivation has stayed the same.,My grades have stayed the same on average.,My time management skills have improved.,My study habits have not changed.,Strongly agree.,Agree.,Strongly agree.,Connected.,Connected.,Yes.,Yes.,Yes.,0,1,4+,4+,3,2,No.,Yes.,4+,Yes.,"Yes, on campus.",15-20 hours.,More than $102.,Less than today.,They will rise.,True.,Don't know.
2025-11-13 07:51:33,2025-11-13 07:57:40,IP Address,68.99.10.166,100,367,True,2025-11-13 07:57:41,R_6lwX1mQtB6F4onL,,,,,41.2854,-96.1494,anonymous,EN,18-24 years old,Female,Never been married,Prefer not to say,Yes,Business Administration,Residence within driving distance.,With family.,Less than 10 miles.,Yes.,3.75+,16 - 20 hours.,My motivation has stayed the same.,My grades have improved on average.,My time management skills have stayed the same.,I study more than before.,Agree.,Agree.,Agree.,Somewhat connected.,Somewhat connected.,Yes.,Yes.,Yes.,1,0,2,0,0,3,No.,Yes.,4+,No.,"Yes, off campus.",0-5 hours.,More than $102.,Less than today.,Don't know.,True.,Don't know.
2025-11-13 08:29:06,2025-11-13 08:33:35,IP Address,72.196.10.120,100,268,True,2025-11-13 08:33:35,R_5DtCgbdbdBU8JuV,,,,,41.2132,-96.1668,anonymous,EN,18-24 years old,Female,Never been married,White or Caucasian,Yes,"Marketing, BSBA",Residence within driving distance.,With family.,Less than 10 miles.,Yes.,3.5-3.75,11 - 15 hours.,My motivation has stayed the same.,My grades have stayed the same on average.,My time management skills have improved.,I study more than before.,Agree.,Agree.,Agree.,Connected.,Neutral.,Yes.,Yes.,No.,0,0,2,0,2,3,No.,Yes.,0,No.,"Yes, off campus.",10-15 hours.,More than $102.,Less than today.,They will rise.,True.,False.
2025-11-17 10:18:39,2025-11-17 10:24:26,IP Address,137.48.255.225,100,347,True,2025-11-17 10:24:27,R_1egIsLX3jmsvr7H,,,,,41.2612,-95.9354,anonymous,EN,18-24 years old,Female,Never been married,White or Caucasian,Yes,Business Administration,In a dormitory or some other student housing.,With one or more other students.,10-40 miles.,Yes.,3.75+,6 - 10 hours.,My motivation has stayed the same.,My grades have stayed the same on average.,My time management skills have stayed the same.,My study habits have not changed.,Neutral.,Agree.,Strongly agree.,Connected.,Somewhat connected.,Yes.,Yes.,Yes.,4+,0,3,2,4+,4+,No.,Yes.,4+,Yes.,"Yes, off campus.",20-25 hours.,More than $102.,Less than today.,Don't know.,True.,Don't know.
2025-11-20 06:04:32,2025-11-20 06:10:44,IP Address,174.74.70.8,100,372,True,2025-11-20 06:10:45,R_7152hQGkTh4H5x5,,,,,41.2041,-95.9644,anonymous,EN,18-24 years old,Female,Never been married,Other,Yes,,Residence within driving distance.,With family.,Less than 10 miles.,No.,2.5-3.0,11 - 15 hours.,My motivation has stayed the same.,My grades have stayed the same on average.,My time management skills have worsened.,I study more than before.,Neutral.,Neutral.,Neutral.,Neutral.,Neutral.,No.,No.,No.,0,0,0,0,0,1,No.,No.,2,No.,"Yes, off campus.",30+ hours.,Less than $102.,,,,
2025-11-20 11:37:49,2025-11-20 11:42:27,IP Address,97.119.221.3,100,277,True,2025-11-20 11:42:27,R_1P7ZegXx8g5NmEt,,,,,41.268,-96.1156,anonymous,EN,18-24 years old,Male,Never been married,White or Caucasian,Yes,Business Admin,Residence within driving distance.,With one or more other students.,70+ miles.,Yes.,3.75+,6 - 10 hours.,My motivation has decreased.,My grades have stayed the same on average.,My time management skills have stayed the same.,I study more than before.,Disagree.,Neutral.,Disagree.,Neutral.,Somewhat connected.,Yes.,Yes.,Yes.,4+,0,4+,1,0,4+,No.,Yes.,2,Yes.,No.,0-5 hours.,More than $102.,Less than today.,They will fall.,True.,False.
